Week	entropy
1	1.73139210334
2	1.46064832983
3	1.60240313162
4	1.0
5	1.0
6	1.35512540874
7	1.81801754515
8	1.24706623299
9	2.01981325981
10	1.88429879616
11	0
12	0
13	1.36114946115
14	1.88595731721
15	0
16	1.98403330765
17	1.52297472204
18	1.1359539263
19	1.02131873826
20	0
21	1.68853504013
22	0
23	0
24	0
25	0
26	0
27	0
28	1.50825326712
29	1.84404888982
30	0
31	0
32	0
33	0
34	1.40011592983
35	1.1359539263
36	0
37	0
38	0
39	0
40	0
41	0
42	1.5778725454
43	1.14612803568
44	0
45	0.778151250384
46	0
47	0
48	0
49	0
50	1.31505631758
51	1.36172783602
52	1.58617953103
53	1.51387742865
54	1.68038523614
55	2.08544329728
56	1.68619235744
57	1.04139268516
58	2.23544117227
59	1.9354828226
60	1.85317678806
61	1.93367570038
62	2.17537287265
63	2.30855766901
64	1.83815100038
65	2.02103776501
66	2.30752779403
67	1.97100487335
68	0
69	2.02627406251
70	0
71	0
72	1.1462510529
73	1.45447889816
74	1.2709269961
75	0
76	1.51377127024
77	1.71957939125
78	1.89547316759
79	1.39794000867
80	2.45472164853
81	2.27454983492
82	2.37343521656
83	2.32312305698
84	2.33063662245
85	2.34306185161
86	1.66738847476
87	0.939794000867
88	2.59386303228
89	2.39867959917
90	1.86237595922
91	2.57609434016
92	2.58041023845
93	1.96322915438
94	2.19134856356
95	1.53916501337
96	2.09830975645
97	2.43451209486
98	2.37542701329
99	2.16407249442
100	2.34438953651
101	2.35226633433
102	2.24290390673
103	2.4999243072
104	2.54289739844
105	2.61002691032
106	2.18370393743
107	2.64826871362
108	2.70121667415
109	2.63585605883
110	2.82440507918
111	2.69533333318
112	2.59647594198
113	2.55669641033
114	2.67823582487
115	2.4686906876
116	2.48149631788
117	2.40062652788
118	2.58300748761
119	2.67506886483
120	2.72626315342
121	2.55493051584
122	2.59472479023
123	2.42400851646
124	2.16760757638
125	2.71833227587
126	2.69661533548
127	2.41172293871
128	2.73969106365
129	2.7205027746
130	2.85020156978
131	2.7899713353
132	2.61714817055
133	2.64980885413
134	2.72953144332
135	2.81628417317
136	2.55655466636
137	2.5271099889
138	2.69038855387
139	2.65646716115
140	2.78249260483
141	2.98367705269
142	2.84784210162
143	2.90321415268
144	2.92954533172
145	3.01362825662
146	2.71717194584
147	2.44417086527
148	2.47744120982
149	2.36510679359
150	2.52340535615
151	2.80841168848
152	2.5906017735
153	2.58676430423
154	2.89519052473
155	2.7553328345
156	2.68555619679
157	2.70385934574
158	2.76831720678
159	2.89538461606
160	2.97737229943
161	3.10982081927
162	2.96895791033
163	3.09995865045
164	3.12804590532
165	3.07083603825
166	3.08052507532
167	3.05767738757
168	3.0014477182
169	3.07346426156
170	3.00534305903
171	3.03441431191
172	3.00142760246
173	3.01946349099
174	2.94844820909
175	2.96337918541
176	2.89787264099
177	3.00797650066
178	3.03705342855
179	3.08091893323
180	3.13366046595
181	3.12488833267
182	3.12507206344
183	3.10406084726
184	3.12226096534
185	3.1108689547
186	3.12381260406
187	3.05631506736
188	3.06404468966
189	3.05989562157
190	3.10690551862
191	3.09424291275
192	3.08155175678
193	3.18077728813
194	3.15175909818
195	3.03696913941
196	3.1784532126
197	3.17936643102
198	3.15917896163
199	3.23692887576
200	3.17342283376
201	3.0533087338
202	2.97496349695
203	2.94797511622
204	2.97745908101
205	2.89891135157
206	2.9405008453
207	3.02128815447
208	3.04160565801
209	2.98320378764
210	3.06190688312
211	3.15438597558
212	3.09126230241
213	3.16043336788
214	3.07660105783
215	3.11985483067
216	3.08021316581
217	3.08973563372
218	3.06933979793
219	3.16988056736
220	3.10223475805
221	3.119453704
222	3.03651562217
223	3.14403116853
224	3.10248404849
225	3.14415148863
226	3.03532951909
227	2.97847999763
228	2.93492563871
229	3.02436422645
230	3.00329445157
231	3.08679370041
232	3.04627357334
233	3.06727043792
234	3.0504633755
235	3.10920705549
236	3.15114027102
237	3.037009105
238	3.03833399733
239	3.07759635983
240	2.9130199828
241	2.93596886041
242	2.94928715137
243	3.03245000914
244	3.03329082535
245	3.06690674999
246	2.87225462012
247	2.9147401729
248	3.12818256603
249	3.03287629422
250	2.94413845235
251	3.02243528903
252	3.0954682547
253	2.99777048311
254	2.92605903444
255	2.98546002034
256	3.0018501425
257	3.03084230903
258	3.01053343075
259	2.99563223186
260	2.98286818567
261	3.0031143775
262	2.90865246645
263	2.98506627762
264	3.02685325462
265	3.03319831114
266	3.0231095776
267	3.15765392009
268	3.13353671594
269	2.89807738441
270	3.12165376488
271	2.9419540169
272	2.96596385176
273	2.98491743777
274	2.94886588095
275	3.03245746102
276	3.15398749849
277	3.1282747626
278	3.14432028533
279	3.11599690256
280	2.88230914057
281	3.02950312809
282	3.0141709535
